reporter,partner,period,raw_response_type,classification,recommended_action,human_decision
50,ALL_SELECTED_PARTNERS,202211,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202212,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202301,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202302,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202303,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202304,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202305,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202306,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202307,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202308,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202309,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202310,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202311,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202312,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202401,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202402,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202403,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202404,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202405,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202406,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202407,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202408,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202409,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202410,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202411,successful_response_no_records,artifact_suspected,exclude,
50,ALL_SELECTED_PARTNERS,202412,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202101,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202102,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202103,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202104,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202105,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202106,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202107,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202108,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202109,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202110,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202111,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202112,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202201,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202202,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202203,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202204,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202205,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202206,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202207,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202208,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202209,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202210,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202211,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202212,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202301,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202302,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202303,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202304,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202305,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202306,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202307,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202308,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202309,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202310,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202311,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202312,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202401,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202402,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202403,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202404,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202405,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202406,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202407,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202408,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202409,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202410,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202411,successful_response_no_records,artifact_suspected,exclude,
490,ALL_SELECTED_PARTNERS,202412,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202401,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202402,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202403,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202404,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202405,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202406,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202407,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202408,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202409,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202410,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202411,successful_response_no_records,artifact_suspected,exclude,
704,ALL_SELECTED_PARTNERS,202412,successful_response_no_records,artifact_suspected,exclude,
